group,date,home_team,away_team,home_win_pct,draw_pct,away_win_pct,prediction,home_rank,away_rank
Group A,2026-06-11,Mexico,South Africa,72.0,18.2,9.8,Home Win,12,63
Group A,2026-06-11,South Korea,Czech Republic,7.8,8.8,83.4,Away Win,28,37
Group A,2026-06-15,Mexico,South Korea,36.2,25.4,38.5,Away Win,12,28
Group A,2026-06-15,Czech Republic,South Africa,78.9,9.4,11.8,Home Win,37,63
Group A,2026-06-23,South Africa,South Korea,45.2,13.8,40.9,Home Win,63,28
Group A,2026-06-23,Mexico,Czech Republic,71.2,15.2,13.6,Home Win,12,37
Group B,2026-06-11,Canada,Bosnia and Herzegovina,81.6,9.8,8.6,Home Win,43,80
Group B,2026-06-12,Qatar,Switzerland,3.7,5.1,91.2,Away Win,59,13
Group B,2026-06-16,Canada,Qatar,66.4,10.0,23.7,Home Win,43,59
Group B,2026-06-16,Bosnia and Herzegovina,Switzerland,35.6,19.3,45.0,Away Win,80,13
Group B,2026-06-23,Canada,Switzerland,39.0,20.1,40.8,Away Win,43,13
Group B,2026-06-23,Bosnia and Herzegovina,Qatar,78.7,6.6,14.7,Home Win,80,59
Group C,2026-06-12,Brazil,Haiti,78.5,9.5,12.1,Home Win,3,87
Group C,2026-06-12,Morocco,Scotland,23.8,34.0,42.2,Away Win,14,30
Group C,2026-06-16,Brazil,Morocco,51.9,15.3,32.8,Home Win,3,14
Group C,2026-06-17,Haiti,Scotland,38.2,22.8,38.9,Away Win,87,30
Group C,2026-06-24,Brazil,Scotland,63.3,15.7,21.0,Home Win,3,30
Group C,2026-06-24,Morocco,Haiti,88.4,4.8,6.9,Home Win,14,87
Group D,2026-06-12,United States,Paraguay,83.8,5.8,10.4,Home Win,11,49
Group D,2026-06-13,Australia,Turkey,17.4,49.2,33.4,Draw,27,41
Group D,2026-06-17,United States,Australia,35.3,23.1,41.6,Away Win,11,27
Group D,2026-06-17,Paraguay,Turkey,33.6,35.7,30.7,Draw,49,41
Group D,2026-06-24,United States,Turkey,58.0,22.2,19.9,Home Win,11,41
Group D,2026-06-24,Australia,Paraguay,49.9,16.1,34.0,Home Win,27,49
Group E,2026-06-13,Germany,Curacao,79.0,15.5,5.5,Home Win,15,88
Group E,2026-06-13,Ivory Coast,Ecuador,8.0,22.7,69.3,Away Win,52,40
Group E,2026-06-17,Germany,Ivory Coast,86.7,8.1,5.2,Home Win,15,52
Group E,2026-06-18,Ecuador,Curacao,83.7,8.8,7.5,Home Win,40,88
Group E,2026-06-25,Germany,Ecuador,68.2,16.8,15.0,Home Win,15,40
Group E,2026-06-25,Ivory Coast,Curacao,84.7,8.1,7.2,Home Win,52,88
Group F,2026-06-14,Netherlands,Sweden,60.6,12.7,26.8,Home Win,7,23
Group F,2026-06-14,Japan,Tunisia,20.8,65.5,13.6,Draw,20,31
Group F,2026-06-18,Netherlands,Japan,44.7,20.1,35.1,Home Win,7,20
Group F,2026-06-18,Tunisia,Sweden,40.0,16.4,43.6,Away Win,31,23
Group F,2026-06-25,Netherlands,Tunisia,48.1,17.9,34.0,Home Win,7,31
Group F,2026-06-25,Japan,Sweden,65.5,17.0,17.5,Home Win,20,23
Group G,2026-06-14,Belgium,New Zealand,84.8,6.9,8.3,Home Win,5,103
Group G,2026-06-15,Iran,Egypt,24.2,16.4,59.4,Away Win,22,34
Group G,2026-06-18,Belgium,Iran,69.5,9.8,20.7,Home Win,5,22
Group G,2026-06-19,New Zealand,Egypt,49.3,28.0,22.7,Home Win,103,34
Group G,2026-06-26,Belgium,Egypt,83.5,9.0,7.5,Home Win,5,34
Group G,2026-06-26,Iran,New Zealand,77.9,5.6,16.4,Home Win,22,103
Group H,2026-06-15,Spain,Cape Verde,91.2,7.8,1.0,Home Win,10,73
Group H,2026-06-15,Saudi Arabia,Uruguay,9.5,3.8,86.7,Away Win,54,16
Group H,2026-06-19,Spain,Saudi Arabia,83.6,7.8,8.7,Home Win,10,54
Group H,2026-06-19,Cape Verde,Uruguay,38.3,12.5,49.2,Away Win,73,16
Group H,2026-06-26,Spain,Uruguay,54.6,9.9,35.4,Home Win,10,16
Group H,2026-06-26,Saudi Arabia,Cape Verde,73.9,9.6,16.4,Home Win,54,73
Group I,2026-06-16,France,Iraq,89.4,6.0,4.6,Home Win,2,70
Group I,2026-06-16,Norway,Senegal,51.3,12.0,36.7,Home Win,44,18
Group I,2026-06-19,France,Norway,84.9,8.6,6.5,Home Win,2,44
Group I,2026-06-20,Iraq,Senegal,25.8,26.6,47.6,Away Win,70,18
Group I,2026-06-27,France,Senegal,70.9,14.4,14.7,Home Win,2,18
Group I,2026-06-27,Iraq,Norway,50.3,22.1,27.6,Home Win,70,44
Group J,2026-06-16,Argentina,Jordan,88.3,9.1,2.6,Home Win,1,82
Group J,2026-06-17,Algeria,Austria,37.3,36.5,26.2,Home Win,33,29
Group J,2026-06-20,Argentina,Algeria,58.4,15.7,25.9,Home Win,1,33
Group J,2026-06-20,Austria,Jordan,74.7,11.9,13.4,Home Win,29,82
Group J,2026-06-27,Argentina,Austria,65.2,13.2,21.6,Home Win,1,29
Group J,2026-06-27,Algeria,Jordan,80.5,8.5,11.0,Home Win,33,82
Group K,2026-06-17,Portugal,Uzbekistan,86.5,6.0,7.5,Home Win,9,74
Group K,2026-06-17,Colombia,DR Congo,69.0,19.1,11.9,Home Win,17,80
Group K,2026-06-21,Portugal,Colombia,66.6,15.3,18.1,Home Win,9,17
Group K,2026-06-21,Uzbekistan,DR Congo,73.1,12.6,14.3,Home Win,74,80
Group K,2026-06-27,Portugal,DR Congo,87.2,7.0,5.8,Home Win,9,80
Group K,2026-06-27,Colombia,Uzbekistan,77.1,10.7,12.2,Home Win,17,74
Group L,2026-06-17,England,Panama,83.0,14.9,2.1,Home Win,4,45
Group L,2026-06-18,Croatia,Ghana,79.5,9.1,11.4,Home Win,6,60
Group L,2026-06-21,England,Croatia,54.6,16.2,29.2,Home Win,4,6
Group L,2026-06-22,Panama,Ghana,74.1,8.2,17.8,Home Win,45,60
Group L,2026-06-27,England,Ghana,86.7,6.0,7.3,Home Win,4,60
Group L,2026-06-27,Croatia,Panama,76.7,11.6,11.6,Home Win,6,45
